Irradiance,Irr2,Power,Power2
52,52,245,227
52,49,240,227
52,48,243,256
52,51,249,258
52,57,237,248
68,72,488,456
68,65,481,446
68,71,493,501
68,63,499,510
68,71,483,497
84,81,740,794
84,91,743,772
84,81,732,672
84,77,728,724
84,87,734,744
103,109,1022,1049
103,102,1026,1113
103,111,1031,1084
103,108,1018,975
103,112,1027,970
126,121,1379,1244
126,120,1374,1295
126,134,1383,1447
126,123,1372,1375
126,127,1382,1340
163,153,1945,1896
163,152,1932,2006
163,158,1936,1772
163,172,1951,1787
163,149,1953,2052
219,228,2805,2736
219,236,2793,2569
219,214,2799,2857
219,239,2808,2647
219,215,2807,2534
276,274,3677,3389
276,293,3663,3833
276,253,3689,3459
276,253,3672,3937
276,285,3667,3745
331,305,4520,4145
331,310,4511,4062
331,308,4518,4729
331,335,4532,4388
331,305,4529,4833
435,446,6101,5934
435,432,6213,6270
435,456,6119,6225
435,456,6202,5928
435,394,6127,5800
632,639,9130,8363
632,627,9122,9717
632,603,9112,9162
632,692,9110,9354
632,685,9115,9550
1125,1022,16670,16680
1125,1168,16612,17537
1125,1167,16698,17936
1125,1067,16701,17937
1125,1232,16692,16787